z,E1,E2
1.0,-7.170438622254216,3.5324588008249873
1.03,-7.797199259725343,3.2516040533335056
1.06,-8.425037654244923,2.9718270628904806
1.09,-9.053858004480565,2.6930320281635067
1.12,-9.683575084741575,2.4151337234619064
1.15,-10.314112887900249,2.1380561416579824
1.18,-10.945403461671589,1.861731330466704
1.21,-11.577385908829823,1.5860983926623229
1.24,-12.21000552651885,1.3111026253887477
1.27,-12.8432130637121,1.0366947776193893
1.3,-13.476964079176083,0.7628304081207505
1.33,-14.111218385070845,0.4894693290529123
1.3599999999999999,-14.745939563654598,0.21657512267405649
1.3900000000000001,-15.381094546517506,-0.05588527942565776
1.42,-16.016653247410293,-0.3279419634954763
1.45,-16.652588241107917,-0.5996223547604529
1.48,-17.288874481900816,-0.8709514989301662
1.51,-17.92548905627313,-1.141952309520455
1.54,-18.56241096513931,-1.412645785616891
1.5699999999999998,-19.199620931693232,-1.6830512040255725
1.6,-19.83710123149947,-1.9531862891819505
1.63,-20.474835541941452,-2.223067363702573
1.66,-21.112808808551904,-2.492709482054739
1.69,-21.751007126097942,-2.7621265494713154
1.72,-22.38941763258855,-3.0313314279433086
1.75,-23.02802841462247,-3.300336030872004
1.78,-23.666828422708107,-3.5691514077489654
1.81,-24.305807395369683,-3.837787820050011
1.8399999999999999,-24.944955791009207,-4.106254809373092
1.87,-25.584264726628195,-4.374561258716718
1.9,-26.22372592262701,-4.642715447680498
1.93,-26.86333165299931,-4.910725102270828
1.96,-27.5030747003234,-5.1785974399093435
1.99,-28.142948315026665,-5.446339210168682
2.02,-28.7829461784622,-5.713956731695757
2.05,-29.4230623693924,-5.981455925728138
2.08,-30.063291333522255,-6.248842346560923
2.11,-30.703627855766324,-6.516121209279468
2.1399999999999997,-31.34406703497075,-6.783297415037653
2.17,-31.984604260842318,-7.050375574128677
2.2,-32.625235192865254,-7.317360027068368
2.23,-33.265955741010444,-7.584254863885785
2.26,-33.906762048063364,-7.851063941795462
2.29,-34.547650473415665,-8.117790901405785
2.32,-35.1886175781819,-8.384439181602163
2.3499999999999996,-35.82966011151801,-8.651012033228646
2.38,-36.47077499803039,-8.917512531678902
2.41,-37.11195932617616,-9.183943588495715
2.44,-37.753210337565804,-9.450307962068695
2.4699999999999998,-38.394525417087316,-9.716608267509756
2.5,-39.035902083780265,-9.982846985779448
2.5300000000000002,-39.67733798239395,-10.24902647212838
2.56,-40.31883087557161,-10.515148963913326
2.59,-40.960378636607,-10.781216587840534
2.62,-41.60197924272553,-11.047231366684619
2.65,-42.24363076884632,-11.31319522552642
2.6799999999999997,-42.88533138178595,-11.579109997549411
2.71,-43.527079334867636,-11.844977429430346
2.74,-44.168872962903706,-12.1107991863569
2.77,-44.81071067752146,-12.376576856701732
2.8,-45.45259096280567,-12.642311956380134
2.83,-46.09451237123271,-12.908005932915716
2.86,-46.736473519874366,-13.173660169236667
2.8899999999999997,-47.3784730868505,-13.43927598722314
2.92,-48.020509808011894,-13.704854651024352
2.95,-48.662582473836125,-13.97039737016275
2.98,-49.304689926520716,-14.235905302440733
3.01,-49.946831057259324,-14.501379556664741
3.04,-50.58900480368728,-14.766821195199407
3.07,-51.23121014748497,-15.032231236364353
3.1,-51.87344611212725,-15.297610656684663
3.13,-52.515711760769285,-15.562960393005218
3.16,-53.15800619425859,-15.828281344478523
3.19,-53.80032854926519,-16.093574374434542
3.2199999999999998,-54.442677996521475,-16.35884031214086
3.25,-55.08505373916462,-16.62407995446032
3.28,-55.72745501117437,-16.88929406741321
3.31,-56.36988107590006,-17.154483387650124
3.34,-57.012331224671144,-17.419648623841685
3.37,-57.65480477548528,-17.684790457990086
3.4,-58.29730107176979,-17.949909546668195
3.4299999999999997,-58.9398194812107,-18.21500652218991
3.46,-59.58235939464624,-18.480081993717008
3.4899999999999998,-60.22492022501977,-18.745136548306053
3.52,-60.867501406389295,-19.01017075189917
3.55,-61.51010239298897,-19.275185150262047
3.58,-62.152722658340856,-19.540180269872813
3.61,-62.79536169441231,-19.80515661876396
3.6399999999999997,-63.43801901081762,-20.070114687321244
3.67,-64.08069413406037,-20.33505494904111
3.6999999999999997,-64.72338660681437,-20.599977861249737
3.73,-65.36609598724107,-20.864883865785664
3.76,-66.00882184834099,-21.12977338964829
3.79,-66.65156377733778,-21.39464684561418
3.82,-67.29432137509185,-21.659504632822667
3.85,-67.93709425554376,-21.924347137333392
3.88,-68.57988204518355,-22.1891747326562
3.9099999999999997,-69.22268438254646,-22.45398778025589
3.94,-69.86550091773213,-22.718786630032824
3.9699999999999998,-70.50833131194698,-22.98357162078057
4.0,-71.15117523706796,-23.248343080622266
