z,E1,E2
0.0,-7.170438622254216,3.5324588008249873
0.016,-7.584261102043738,3.2740500243878796
0.032,-7.998228827090292,3.015786493207812
0.048,-8.41233572345807,2.757662133348961
0.064,-8.826576041241319,2.4996711949055865
0.08,-9.240944333922755,2.2418082313603938
0.096,-9.655435439234589,1.9840680804456041
0.112,-10.070044461401416,1.7264458463858094
0.128,-10.484766754654443,1.4689368834122067
0.14400000000000002,-10.89959790791609,1.21153678044723
0.16,-11.314533730562717,0.9542413468672317
0.176,-11.72957023918094,0.6970465992588286
0.192,-12.144703645240307,0.4399487490915641
0.20800000000000002,-12.55993034361154,0.18294419123617484
0.224,-12.975246901865589,-0.07397050673640153
0.24,-13.390650050293958,-0.33079861453465936
0.256,-13.806136672595978,-0.5875432484592624
0.272,-14.221703797182949,-0.8442073800989196
0.28800000000000003,-14.6373485890533,-1.1007938444551995
0.304,-15.053068342196608,-1.3573053475385146
0.32,-15.468860472487812,-1.6137444734739321
0.336,-15.884722511035896,-1.870113691152473
0.352,-16.300652097954373,-2.1264153604606215
0.368,-16.716646976523368,-2.3826517381182537
0.384,-17.132704987715485,-2.638824983152768
0.4,-17.548824065059893,-2.8949371620349873
0.41600000000000004,-17.96500222982099,-3.150990253500516
0.432,-18.381237586469815,-3.4069861530783134
0.448,-18.797528318428146,-3.6629266773466083
0.464,-19.213872684066615,-3.9188135679347633
0.48,-19.630269012939713,-4.174648495288291
0.496,-20.046715702241748,-4.43043306221288
0.512,-20.46321121346903,-4.686168807212229
0.528,-20.87975406927472,-4.941857207633166
0.544,-21.296342850503606,-5.197499682630904
0.56,-21.71297619339521,-5.453097595965928
0.5760000000000001,-22.129652786944295,-5.708652258643477
0.592,-22.546371370408686,-5.964164931405701
0.608,-22.96313073095515,-6.219636827085865
0.624,-23.379929701434442,-6.475069112833192
0.64,-23.796767158277614,-6.730462912216649
0.656,-24.213642019505993,-6.985819307214895
0.672,-24.63055324284778,-7.241139340099739
0.6880000000000001,-25.047499823954823,-7.496424015219318
0.704,-25.46448079471344,-7.751674300687324
0.72,-25.881495221643668,-8.006891129983728
0.736,-26.298542204381597,-8.262075403472432
0.752,-26.715620874239903,-8.51722798984074
0.768,-27.132730392842024,-8.772349727465244
0.784,-27.549869950825503,-9.027441425708385
0.8,-27.967038766610724,-9.282503866149794
0.8160000000000001,-28.38423608523107,-9.537537803756083
0.8320000000000001,-28.801461177221118,-9.792543967992662
0.848,-29.218713337559524,-10.047523063880886
0.864,-29.63599188466354,-10.30247577300349
0.88,-30.053296159432268,-10.557402754461398
0.896,-30.470625524335908,-10.812304645784387
0.912,-30.88797936254852,-11.067182063798372
0.928,-31.305357077122018,-11.322035605451507
0.9440000000000001,-31.722758090198774,-11.576865848601384
0.96,-32.14018184226125,-11.831673352765538
0.976,-32.55762779141635,-12.086458659837053
0.992,-32.97509541271271,-12.341222294767322
1.008,-33.39258419748925,-12.595964766217408
1.024,-33.81009365275325,-12.85068656718003
1.04,-34.22762330058655,-13.105388175573362
1.056,-34.645172677578195,-13.360070054808345
1.072,-35.062741334282464,-13.614732654330707
1.088,-35.480328834700735,-13.869376410139061
1.104,-35.89793475578605,-14.124001745280363
1.12,-36.315558686969354,-14.378609070323694
1.1360000000000001,-36.7332002297061,-14.633198783813588
1.1520000000000001,-37.150858997042405,-14.887771272703912
1.168,-37.56853461319973,-15.142326912773193
1.184,-37.98622671317717,-15.39686606902237
1.2,-38.403934942370384,-15.651389096055782
1.216,-38.82165895620661,-15.905896338446185
1.232,-39.23939841979473,-16.160388131084698
1.248,-39.657153007589855,-16.414864799516177
1.264,-40.074922403071675,-16.669326660260992
1.28,-40.4927062984358,-16.923774021123496
1.296,-40.91050439429776,-17.178207181488162
1.312,-41.32831639940878,-17.432626432603776
1.328,-41.74614203038301,-17.68703205785618
1.344,-42.163981011435524,-17.94142433303029
1.36,-42.58183307413072,-18.19580352656172
1.3760000000000001,-42.99969795714052,-18.450169899778555
1.3920000000000001,-43.41757540601204,-18.704523707133664
1.408,-43.835465172944275,-18.958865196428036
1.424,-44.253367016573385,-19.213194609025557
1.44,-44.67128070176611,-19.467512180059458
1.456,-45.089205999421154,-19.72181813863103
1.472,-45.507142686278044,-19.97611270800076
1.488,-45.92509054473311,-20.23039610577231
1.504,-46.34304936266247,-20.484668544069574
1.52,-46.76101893325144,-20.738930229707247
1.536,-47.17899905483033,-20.993181364354975
1.552,-47.59698953071626,-21.247422144695665
1.568,-48.014990169060745,-21.50165276257781
1.584,-48.43300078270279,-21.755873405162394
1.6,-48.85102118902725,-22.01008425506456
