z,E1,E2
0.0,-7.170438622254216,3.2985208000765844
0.04,-7.58795677790363,3.0471317672100966
0.08,-8.008184483991375,2.7933637747845577
0.12,-8.431056728426658,2.5374125041855797
0.16,-8.856507620387703,2.2794762504008057
0.2,-9.284470658666839,2.0197524277917576
0.24,-9.71487898627569,1.7584345544080746
0.28,-10.147665629730572,1.4957097610142445
0.32,-10.582763721849394,1.2317568319892147
0.36,-11.020106707273452,0.9667447547212654
0.4,-11.45962853027547,0.7008317326727213
0.44,-11.901263804725065,0.43416460433469367
0.48,-12.344947966352736,0.16687860449748113
0.52,-12.790617407682774,-0.10090259602331758
0.56,-13.23820959619562,-0.3690666324893583
0.6,-13.68766317643238,-0.63751202447959
0.64,-14.13891805687167,-0.9061476373768887
0.68,-14.5919154824944,-1.1748920666580067
0.72,-15.04659809400954,-1.4436729772383499
0.76,-15.50290997474607,-1.7124264234290483
0.8,-15.9607966862277,-1.9810961691751843
0.84,-16.420205293440397,-2.2496330232290793
0.88,-16.881084380781317,-2.5179941997515987
0.92,-17.343384059645626,-2.7861427114688135
0.96,-17.807055968565564,-3.054046799844004
1.0,-18.272053266768097,-3.3216794046591422
1.04,-18.738330621965034,-3.589017673838078
1.08,-19.205844193133714,-3.856042513188772
1.12,-19.67455160899016,-4.122738174919868
1.16,-20.144411942799273,-4.389091883221792
1.2,-20.615385684110997,-4.655093494840024
1.24,-21.087434707957247,-4.920735192358712
1.28,-21.5605222419919,-5.186011207818053
1.32,-22.034612832007003,-5.450917574277938
1.36,-22.50967230621178,-5.715451902989013
1.4000000000000001,-22.985667738617064,-5.979613183922477
1.44,-23.46256741182812,-6.243401607526538
1.48,-23.940340779511025,-6.506818405710162
1.52,-24.418958428763837,-6.769865710195656
1.56,-24.898392042592956,-7.032546426524507
1.6,-25.378614362666518,-7.294864122142004
1.6400000000000001,-25.859599152491377,-7.556822927122497
1.68,-26.34132116113738,-7.818427446226614
1.72,-26.823756087612082,-8.079682681104567
1.76,-27.306880545971,-8.340593961571553
1.8,-27.790672031232013,-8.601166884988432
1.84,-28.27510888614859,-8.861407262874751
1.8800000000000001,-28.760170268883627,-9.121321073972032
1.92,-29.245836121614996,-9.380914423052511
1.96,-29.732087140094027,-9.640193504844873
2.0,-30.218904744170203,-9.899164572510362
2.04,-30.706271049287544,-10.157833910165632
2.08,-31.19416883895292,-10.416207809000237
2.12,-31.68258153817051,-10.674292546585185
2.16,-32.17149318783258,-10.93209436901264
2.2,-32.66088842005311,-11.18961947554531
2.24,-33.15075243442734,-11.446874005488322
2.2800000000000002,-33.641070975198595,-11.703864027028754
2.32,-34.13183030931068,-11.960595527814473
2.36,-34.62301720532357,-12.217074407069374
2.4,-35.11461891316795,-12.473306469063997
2.44,-35.60662314471427,-12.729297417781238
2.48,-36.09901805513069,-12.985052852633496
2.52,-36.591792225003914,-13.240578265103803
2.56,-37.08493464319704,-13.495879036197062
2.6,-37.578434690418554,-13.75096043460202
2.64,-38.07228212347673,-14.005827615473155
2.68,-38.566467060193304,-14.260485619752737
2.72,-39.060979964952175,-14.514939373963912
2.7600000000000002,-39.55581163485776,-14.769193690410352
2.8000000000000003,-40.05095318647895,-15.023253267727712
2.84,-40.546396043155504,-15.277122691737803
2.88,-41.04213192284342,-15.530806436560871
2.92,-41.53815282647732,-15.78430886594832
2.96,-42.03445102682836,-16.037634234800827
3.0,-42.531019057836225,-16.290786690842108
3.04,-43.02784970439589,-16.543770276421178
3.08,-43.524935992579046,-16.79658893042081
3.12,-44.02227118027151,-17.049246490249047
3.16,-44.519848748208716,-17.30174669389795
3.2,-45.017662391392335,-17.5540931820531
3.24,-45.51570601087022,-17.806289500237778
3.2800000000000002,-46.013973705865006,-18.058339100982643
3.3200000000000003,-46.512459766235274,-18.310245346008283
3.36,-47.01115866525451,-18.562011508411214
3.4,-47.510065052694344,-18.813640774846625
3.44,-48.00917374819801,-19.065136247699762
3.48,-48.50847973493143,-19.316500947240204
3.52,-49.007978153499664,-19.567737813754224
3.56,-49.50766429611669,-19.818849709650756
3.6,-50.00753360101717,-20.069839421536653
3.64,-50.50758164710031,-20.320709662259976
3.68,-51.00780414879367,-20.571463072915535
3.72,-51.50819695112965,-20.822102224815012
3.7600000000000002,-52.00875602502265,-21.072629621415075
3.8000000000000003,-52.50947746274008,-21.323047700206644
3.84,-53.01035747355732,-21.573358834561407
3.88,-53.51139237958923,-21.823565335536227
3.92,-54.012578611789834,-22.073669453633787
3.96,-54.51391270611348,-22.3236733805212
4.0,-55.015391299829616,-22.57357925070474
