z,E1,E2,E3,E4
1.0,-7.170438622254175,3.2209478521296244,7.444476813810428,18.138674139558358
1.015,-7.483788347940145,3.0375289261746685,7.315383574049314,17.8932627593842
1.03,-7.797644030415417,2.851061861222398,7.188547181154443,17.648856960564544
1.045,-8.111996014168605,2.661641619054203,7.063845011433581,17.40547231949195
1.06,-8.4268349962313,2.4693666563565495,6.94115077116853,17.16312490337406
1.075,-8.742152006264103,2.2743374996087824,6.820335874255501,16.921831296988913
1.09,-9.057938388220766,2.076655467769849,6.701270672498945,16.681608630550006
1.105,-9.374185783432347,1.8764215565927131,6.583825524621288,16.44247460860557
1.12,-9.690886114967483,1.6737354892724472,6.467871699220902,16.20444753992259
1.135,-10.008031573144255,1.4686949306990469,6.3532821143842835,15.967546368233016
1.15,-10.325614602083771,1.2613948569457183,6.239931922339255,15.73179070371769
1.165,-10.643627887207112,1.0519270676895014,6.127698951518534,15.497200855065723
1.18,-10.962064343589915,0.8403798268482477,6.016464020860464,15.26379786190761
1.195,-11.280917105095408,0.6268376155644403,5.906111142381562,15.03160352738233
1.21,-11.6001795142209,0.4113809814988246,5.796527628273181,14.80064045054612
1.225,-11.919845112592217,0.1940864689601777,5.687604118275835,14.570932058292618
1.24,-12.239907632054713,-0.024973384552652182,5.5792345420945555,14.342502636376121
1.255,-12.560360986309844,-0.2457299984659738,5.471316030335893,14.115377359087553
1.27,-12.88119926305384,-0.46811865747355197,5.363748786020201,13.88958231704283
1.285,-13.202416716578728,-0.6920783881425187,5.256435927270122,13.665144542490445
1.3,-13.524007760799906,-0.9175518123311438,5.1492833103714375,13.44209203144002
1.315,-13.845966962677922,-1.1444849845779836,5.042199341102075,13.220453761855177
1.33,-14.168289036005243,-1.3728272193632274,4.935094781059642,13.00025970703781
1.345,-14.490968835531145,-1.6025309130228496,4.827882554691615,12.781540843263592
1.3599999999999999,-14.81400135140129,-1.8335513641282746,4.7204775618568435,12.564329150613561
1.375,-15.137381703889632,-2.065846595311205,4.612796500013753,12.348657605876447
1.3900000000000001,-15.461105138402255,-2.299377178813224,4.5047576995090814,12.13456016629646
1.405,-15.785167020735976,-2.5341060674575355,4.39628097494924,11.922071742866567
1.42,-16.109562832573758,-2.769998432260633,4.287287495215954,11.711228161794565
1.435,-16.434288167202084,-3.0070215075148075,4.177699674353045,11.502066112747482
1.45,-16.759338725437203,-3.2451444438590524,4.067441085266035,11.294623082408929
1.4649999999999999,-17.084710311744992,-3.4843381696112905,3.9564363979225234,11.08893727194813
1.48,-17.41039883054534,-3.7245752604431344,3.844611343507308,10.885047496980256
1.495,-17.73640028268737,-3.96582981732917,3.7318927057540834,10.682993068744874
1.51,-18.06271076208758,-4.208077352596543,3.6182083404203853,10.482813655337557
1.525,-18.38932645252006,-4.45129468381478,3.5034872235945467,10.284549122011725
1.54,-18.716243624550536,-4.695459835214123,3.3876595291969798,10.088239349910486
1.555,-19.04345863260614,-4.94055194627895,3.2706567356617193,9.893924032835509
1.5699999999999998,-19.370967912173473,-5.1865511871420535,3.152411761349688,9.701642452142083
1.585,-19.698767977118106,-5.433438680393727,3.03285912774349,9.51143323029248
1.6,-20.026855417118135,-5.681196428917016,2.9119351489166476,9.32333406420079
1.615,-20.355226895207267,-5.929807249364048,2.789578145154588,9.137381440079471
1.63,-20.683879145419883,-6.179254710898936,2.6657286779475418,8.953610332184773
1.645,-21.012808970534884,-6.429523078844961,2.540329802891415,8.772053888562661
1.66,-21.342013239910628,-6.6805972628866455,2.4133273363520638,8.592743107564747
1.6749999999999998,-21.67148888740987,-6.932462769499185,2.2846701310853605,8.415706509621431
1.69,-22.001232909406482,-7.1851056582883155,2.1543103554114156,8.240969809335084
1.705,-22.331242362872818,-7.438512501948898,2.022203770033913,8.068555593515512
1.72,-22.661514363542828,-7.692670349562686,1.8883099962248022,7.898483011125092
1.7349999999999999,-22.992046084146242,-7.947566692976989,1.7525927688828324,7.730767481382224
1.75,-23.3228347527124,-8.203189436021558,1.6150201679613299,7.565420426263092
1.7650000000000001,-23.653877650939002,-8.459526866338308,1.4755648219566644,7.402449033468407
1.78,-23.98517211262364,-8.716567629614046,1.3342040775780355,7.241856055535804
1.795,-24.316715522154233,-8.974300706021193,1.190920130365958,7.08363965009757
1.81,-24.648505313056653,-9.232715388686296,1.0457001118918186,6.927793265488948
1.825,-24.980538966596715,-9.491801264019399,0.898536130216954,6.774305574833918
1.8399999999999999,-25.31281401043338,-9.751548193749048,0.7494252614776167,6.623160460566698
1.855,-25.645328017322512,-10.011946298520849,0.5983694917506348,6.474337050121102
1.87,-25.97807860386668,-10.272985942927285,0.44537560967300904,6.32780980211378
1.885,-26.311063429311318,-10.534657721847406,0.290455051592527,6.1835486411611305
